,Snaizeholme MA,Malham Tarn MA,East Cowton MA,Arkengarthdale MA,Skelton T-1,Crakehill,Skip Bridge,Westwick,Skelton
1994-06-03,0.1286054827175209,0.14889357218124338,0.16307053941908714,0.1109696376101861,0.1218312019319253,0.1169254318827903,0.11740535083291267,0.10938179973568635,0.11867841568295659
1993-04-24,0.2258641239570917,0.1910432033719705,0.18298755186721993,0.12193927522037219,0.1597335237001054,0.14644653400393615,0.13084300858152448,0.13310595239684425,0.15975796906432407
1994-08-07,0.10953516090584034,0.11180189673340356,0.2095435684647303,0.13447600391772774,0.11768180119685673,0.10922807784823968,0.10746087834427058,0.10776387980403412,0.11098455016358916
1994-05-01,0.1553039332538737,0.10337197049525815,0.1,0.10783545543584722,0.1683223370495753,0.14994533129236826,0.12596668349318527,0.1324892205417095,0.14235046331507675
1994-06-22,0.2563766388557807,0.3714436248682824,0.13319502074688797,0.12193927522037219,0.12341511296520416,0.113732779357096,0.11196365471983848,0.12348119768792301,0.14175641192963193
1996-08-19,0.10000000000000007,0.1,0.1,0.10000000000000002,0.10409809094103278,0.10262409796632409,0.10399798081776881,0.10222664228217485,0.10351570410840538
1993-03-11,0.10953516090584023,0.10674394099051632,0.1,0.1,0.14083813433127165,0.13280122457905097,0.11804139323573953,0.11692141341058056,0.13046943560617996
1996-07-20,0.10000000000000007,0.1,0.1,0.10000000000000002,0.1051042090762564,0.1033238574240105,0.10464411913175165,0.10278463777015392,0.10356070800124212
1993-06-15,0.1572109654350418,0.15395152792413067,0.23278008298755187,0.14701273261508327,0.13894190281255753,0.12960857205335666,0.1330136294800606,0.11928421727116179,0.13390773301890616
1995-10-22,0.10953516090584037,0.1539515279241306,0.10995850622406639,0.10470127326150833,0.1185741454409575,0.11110868139077193,0.10466431095406362,0.1129994259855028,0.1121978551144674
1996-01-06,0.16293206197854598,0.19272918861959953,0.14315352697095435,0.13917727717923606,0.19946515116869212,0.1954296960419856,0.1417869762746088,0.16625996182136135,0.21903709670886531
1995-08-15,0.11525625744934449,0.19104320337197048,0.1365145228215768,0.10626836434867777,0.10153260123924307,0.10188060354253226,0.10068652195860676,0.10068614756177331,0.10091447910244236
1995-06-10,0.10000000000000003,0.10505795574288723,0.12655601659751042,0.11410381978452498,0.11558479222321992,0.113076754865515,0.1087834427057042,0.10692555165463016,0.11163980684329194
1995-04-17,0.1019070321811681,0.1,0.10000000000000003,0.1,0.13387784922728566,0.1273343538158758,0.12456335184250379,0.11453992070590435,0.12703113819345374
1995-03-24,0.10190703218116808,0.10168598524762905,0.10000000000000003,0.1,0.18291216544062286,0.17093811502296086,0.1396163553760727,0.14272803727089478,0.16613052029000508
1995-12-05,0.15530393325387376,0.18767123287671228,0.39543568464730294,0.14231145935357492,0.17668806433802,0.1613164224797726,0.16247349823321558,0.1359733550479903,0.1582818413792793
1995-01-19,0.17818831942789037,0.21127502634351947,0.28921161825726144,0.16581782566111658,0.3761939287128492,0.3747430570741308,0.25242806663301365,0.2182496562587604,0.2579024585626657
1995-08-23,0.10000000000000003,0.1,0.10000000000000003,0.1,0.10099050211095185,0.10021867483052702,0.1,0.1002402851383642,0.1
1993-07-02,0.11334922526817648,0.10000000000000002,0.1,0.10156709108716945,0.11665560531614085,0.11281434506888258,0.11209490156486623,0.10755296284924779,0.11423203107068762
1996-07-31,0.10000000000000007,0.2930453108535299,0.20622406639004146,0.12977473065621942,0.11632097622460305,0.10459217144106714,0.12018172640080768,0.11445982565978295,0.1112275711849075
1995-11-26,0.27926102502979744,0.1,0.17634854771784234,0.16581782566111658,0.2892795993374344,0.24834900502952115,0.11342756183745584,0.2093858044879924,0.17468125992898387
1996-01-11,0.16102502979737793,0.25763962065331925,0.1995850622406639,0.13917727717923606,0.2798876761682738,0.23260441723157665,0.19635537607269057,0.17510779458290504,0.19894735894654889
1995-12-03,0.1038140643623362,0.11180189673340353,0.1066390041493776,0.10626836434867777,0.12923765915796168,0.1239230264596545,0.11004543160020193,0.1151139352031077,0.12818323785007404
1994-03-29,0.22777115613825993,0.17755532139093777,0.1033195020746888,0.12350636630754164,0.23529277256933795,0.16962606603979885,0.18838970217062093,0.20179813378542538,0.20000945081749572
1995-01-18,0.19725864123957093,0.2180189673340358,0.28921161825726144,0.16111655239960826,0.25066340217397365,0.23522851519790075,0.21525492175668856,0.2041796264901016,0.3228700782617696
1994-11-12,0.16102502979737793,0.22307692307692303,0.11659751037344399,0.13917727717923606,0.2369659180270269,0.17968510824404113,0.23371024734982335,0.16394254515358225,0.21253853458324146
1995-06-27,0.10000000000000003,0.1,0.10000000000000003,0.1,0.11013256889176423,0.10883446315329107,0.10645128722867239,0.10469089986784318,0.10756245415228417
1994-08-31,0.1247914183551848,0.1573234984193888,0.1,0.1454456415279138,0.12080500605120942,0.10918434288213427,0.10475517415446745,0.11476685666991497,0.11480808089899777
1995-09-05,0.12669845053635284,0.17249736564805054,0.25269709543568475,0.13447600391772774,0.10339983157002393,0.1034987972884321,0.10162544169611308,0.10131622859126163,0.1029648564600838
1996-04-12,0.10953516090584037,0.12023182297154894,0.12323651452282158,0.12350636630754164,0.13059848413021535,0.12768423354471903,0.11646643109540636,0.1145292413664215,0.12379085790920916
1996-09-05,0.10190703218116813,0.14299262381454156,0.1829875518672199,0.12350636630754165,0.11188379447081198,0.1100153072381369,0.11012619888944979,0.10535568875065078,0.10872355458747182
1996-09-29,0.3116805721096544,0.32423603793466804,0.1663900414937759,0.15954946131243883,0.10688220498262718,0.10371747211895911,0.10580514891468956,0.105865627210957,0.18672430165209292
